frame,ID,X,Y,Class,Color,Position,X_court,Y_court,is_outlier,X_court_clamped,Y_court_clamped,court_zone,court_side,dist_to_near_baseline,dist_to_far_baseline,dist_to_net,dist_to_left_sideline,dist_to_right_sideline,dist_to_center
11,13,326,123,Player,red,Defense,-5.8980384,-24.032478,True,-2.0,-2.0,Near Service Box,Left,24.032478,47.80248,35.91748,5.8980384,16.868038,11.3830385
11,15,174,123,Player,red,Defense,-20.069489,-45.68115,True,-2.0,-2.0,Near Service Box,Left,45.68115,69.45115,57.566147,20.069489,31.03949,25.55449
11,16,226,121,Player,red,Defense,-14.211424,-37.314053,True,-2.0,-2.0,Near Service Box,Left,37.314053,61.084053,49.19905,14.211424,25.181423,19.696424
11,63,1182,386,Player,red,Defense,11.785541,18.056068,False,11.785541,18.056068,Far Service Box,Right,18.056068,5.713932,6.171068,11.785541,0.8155403,6.3005404
11,69,285,122,Player,red,Defense,-8.846458,-28.787209,True,-2.0,-2.0,Near Service Box,Left,28.787209,52.55721,40.67221,8.846458,19.81646,14.331459
11,93,482,66,Player,red,Defense,0.36043942,-26.792273,True,0.36043942,-2.0,Near Service Box,Left,26.792273,50.56227,38.677273,0.36043942,10.609561,5.124561
12,1,872,208,Player,red,Defense,9.991843,7.9469156,False,9.991843,7.9469156,Near Court,Right,7.9469156,15.823085,3.9380846,9.991843,0.97815704,4.506843
12,2,114,362,Player,red,Defense,-5.5387387,9.121562,True,-2.0,9.121562,Near Court,Left,9.121562,14.648438,2.7634382,5.5387387,16.50874,11.023739
12,3,643,539,Player,red,Defense,6.653458,21.638891,False,6.653458,21.638891,Far Service Box,Right,21.638891,2.1311092,9.753891,6.653458,4.316542,1.168458
12,4,405,160,Player,red,Defense,-0.46027467,-9.39482,True,-0.46027467,-2.0,Near Service Box,Left,9.39482,33.16482,21.27982,0.46027467,11.430275,5.945275
12,5,1189,281,Player,red,Defense,12.522513,14.384523,False,12.522513,14.384523,Far Court,Right,14.384523,9.385477,2.4995232,12.522513,1.5525131,7.0375133
12,6,969,164,Player,red,Defense,11.4547205,6.1998086,False,11.4547205,6.1998086,Near Service Box,Right,6.1998086,17.570192,5.6851916,11.4547205,0.48472023,5.9697204
12,7,51,148,Player,red,Defense,-35.22927,-58.461826,True,-2.0,-2.0,Near Service Box,Left,58.461826,82.23183,70.346825,35.22927,46.199272,40.71427
12,8,558,65,Player,red,Defense,3.5548477,-20.553438,True,3.5548477,-2.0,Near Service Box,Left,20.553438,44.32344,32.43844,3.5548477,7.4151525,1.9301524
12,10,850,67,Player,red,Defense,10.733907,-5.656395,True,10.733907,-2.0,Near Service Box,Right,5.656395,29.426395,17.541395,10.733907,0.23609352,5.2489066
12,11,22,156,Player,red,Defense,-39.104286,-60.475254,True,-2.0,-2.0,Near Service Box,Left,60.475254,84.245255,72.36025,39.104286,50.074287,44.589287
12,12,1269,147,Player,red,Defense,14.358547,8.70719,True,12.97,8.70719,Near Court,Right,8.70719,15.062811,3.1778107,14.358547,3.388547,8.873547
